x-axis,1,NO_LBL
second,Volt,Volt
-1.9782000E+00,+215.2060E-03,+4.9849246E+00
-1.9780000E+00,+134.8040E-03,+4.9849246E+00
-1.9778000E+00,+134.8040E-03,+4.9849246E+00
-1.9776000E+00,+215.2060E-03,+4.9849246E+00
-1.9774000E+00,+134.8040E-03,+4.9849246E+00
-1.9772000E+00,+134.8040E-03,+4.9849246E+00
-1.9770000E+00,+134.8040E-03,+4.9849246E+00
-1.9768000E+00,+134.8040E-03,+4.9849246E+00
-1.9766000E+00,+215.2060E-03,+4.9849246E+00
-1.9764000E+00,+134.8040E-03,+4.9849246E+00
-1.9762000E+00,+134.8040E-03,+4.9849246E+00
-1.9760000E+00,+134.8040E-03,+4.9849246E+00
-1.9758000E+00,+215.2060E-03,+4.9849246E+00
-1.9756000E+00,+134.8040E-03,+4.9849246E+00
-1.9754000E+00,+134.8040E-03,+4.9849246E+00
-1.9752000E+00,+215.2060E-03,+4.9849246E+00
-1.9750000E+00,+215.2060E-03,+4.9849246E+00
-1.9748000E+00,+215.2060E-03,+4.9849246E+00
-1.9746000E+00,+215.2060E-03,+4.9849246E+00
-1.9744000E+00,+215.2060E-03,+4.9849246E+00
-1.9742000E+00,+134.8040E-03,+4.9849246E+00
-1.9740000E+00,+215.2060E-03,+4.9849246E+00
-1.9738000E+00,+215.2060E-03,+4.9849246E+00
-1.9736000E+00,+215.2060E-03,+4.9849246E+00
-1.9734000E+00,+134.8040E-03,+4.9849246E+00
-1.9732000E+00,+134.8040E-03,+4.9849246E+00
-1.9730000E+00,+215.2060E-03,+4.9849246E+00
-1.9728000E+00,+215.2060E-03,+4.9849246E+00
-1.9726000E+00,+134.8040E-03,+4.9849246E+00
-1.9724000E+00,+215.2060E-03,+4.9849246E+00
-1.9722000E+00,+215.2060E-03,+4.9849246E+00
-1.9720000E+00,+134.8040E-03,+4.9849246E+00
-1.9718000E+00,+134.8040E-03,+4.9849246E+00
-1.9716000E+00,+134.8040E-03,+4.9849246E+00
-1.9714000E+00,+215.2060E-03,+4.9849246E+00
-1.9712000E+00,+134.8040E-03,+4.9045226E+00
-1.9710000E+00,+215.2060E-03,+4.9849246E+00
-1.9708000E+00,+215.2060E-03,+4.9849246E+00
-1.9706000E+00,+134.8040E-03,+4.9849246E+00
-1.9704000E+00,+215.2060E-03,+4.9849246E+00
-1.9702000E+00,+134.8040E-03,+4.9849246E+00
-1.9700000E+00,+134.8040E-03,+4.9045226E+00
-1.9698000E+00,+134.8040E-03,+4.9849246E+00
-1.9696000E+00,+134.8040E-03,+4.9849246E+00
-1.9694000E+00,+134.8040E-03,+4.9849246E+00
-1.9692000E+00,+215.2060E-03,+4.9849246E+00
-1.9690000E+00,+134.8040E-03,+4.9849246E+00
-1.9688000E+00,+134.8040E-03,+4.9849246E+00
-1.9686000E+00,+215.2060E-03,+4.9849246E+00
-1.9684000E+00,+134.8040E-03,+4.9045226E+00
-1.9682000E+00,+215.2060E-03,+4.9849246E+00
-1.9680000E+00,+215.2060E-03,+4.9849246E+00
-1.9678000E+00,+134.8040E-03,+4.9849246E+00
-1.9676000E+00,+215.2060E-03,+4.9045226E+00
-1.9674000E+00,+134.8040E-03,+4.9849246E+00
-1.9672000E+00,+215.2060E-03,+4.9849246E+00
-1.9670000E+00,+215.2060E-03,+4.9849246E+00
-1.9668000E+00,+215.2060E-03,+4.9849246E+00
-1.9666000E+00,+215.2060E-03,+4.9849246E+00
-1.9664000E+00,+215.2060E-03,+4.9849246E+00
-1.9662000E+00,+3.1900804E+00,+4.9849246E+00
-1.9660000E+00,+3.1900804E+00,+4.9849246E+00
-1.9658000E+00,+3.1900804E+00,+4.9849246E+00
-1.9656000E+00,+3.1900804E+00,+4.9045226E+00
-1.9654000E+00,+3.1900804E+00,+4.9849246E+00
-1.9652000E+00,+3.1900804E+00,+4.9849246E+00
-1.9650000E+00,+215.2060E-03,+4.9849246E+00
-1.9648000E+00,+215.2060E-03,+4.9849246E+00
-1.9646000E+00,+215.2060E-03,+4.9849246E+00
-1.9644000E+00,+215.2060E-03,+4.9849246E+00
-1.9642000E+00,+215.2060E-03,+4.9849246E+00
-1.9640000E+00,+215.2060E-03,+4.9849246E+00
-1.9638000E+00,+215.2060E-03,+4.9849246E+00
-1.9636000E+00,+215.2060E-03,+4.9849246E+00
-1.9634000E+00,+215.2060E-03,+4.9849246E+00
-1.9632000E+00,+134.8040E-03,+4.9849246E+00
-1.9630000E+00,+134.8040E-03,+4.9849246E+00
-1.9628000E+00,+215.2060E-03,+4.9849246E+00
-1.9626000E+00,+215.2060E-03,+4.9849246E+00
-1.9624000E+00,+215.2060E-03,+4.9849246E+00
-1.9622000E+00,+215.2060E-03,+4.9849246E+00
-1.9620000E+00,+134.8040E-03,+4.9849246E+00
-1.9618000E+00,+134.8040E-03,+4.9849246E+00
-1.9616000E+00,+134.8040E-03,+4.9849246E+00
-1.9614000E+00,+215.2060E-03,+4.9849246E+00
-1.9612000E+00,+215.2060E-03,+4.9849246E+00
-1.9610000E+00,+134.8040E-03,+4.9849246E+00
-1.9608000E+00,+215.2060E-03,+4.9849246E+00
-1.9606000E+00,+215.2060E-03,+4.9045226E+00
-1.9604000E+00,+215.2060E-03,+4.9045226E+00
-1.9602000E+00,+215.2060E-03,+4.9849246E+00
-1.9600000E+00,+134.8040E-03,+4.9849246E+00
-1.9598000E+00,+215.2060E-03,+4.9849246E+00
-1.9596000E+00,+215.2060E-03,+4.9849246E+00
-1.9594000E+00,+215.2060E-03,+4.9849246E+00
-1.9592000E+00,+215.2060E-03,+4.9849246E+00
-1.9590000E+00,+215.2060E-03,+4.9849246E+00
-1.9588000E+00,+134.8040E-03,+4.9849246E+00
-1.9586000E+00,+134.8040E-03,+4.9849246E+00
-1.9584000E+00,+215.2060E-03,+4.9849246E+00
-1.9582000E+00,+134.8040E-03,+4.9849246E+00
-1.9580000E+00,+215.2060E-03,+4.9849246E+00
-1.9578000E+00,+134.8040E-03,+4.9849246E+00
-1.9576000E+00,+215.2060E-03,+4.9849246E+00
-1.9574000E+00,+215.2060E-03,+4.9849246E+00
-1.9572000E+00,+134.8040E-03,+4.9849246E+00
-1.9570000E+00,+134.8040E-03,+4.9849246E+00
-1.9568000E+00,+215.2060E-03,+4.9849246E+00
-1.9566000E+00,+134.8040E-03,+4.9849246E+00
-1.9564000E+00,+134.8040E-03,+4.9849246E+00
-1.9562000E+00,+215.2060E-03,+4.9849246E+00
-1.9560000E+00,+134.8040E-03,+4.9849246E+00
-1.9558000E+00,+215.2060E-03,+4.9849246E+00
-1.9556000E+00,+134.8040E-03,+4.9849246E+00
-1.9554000E+00,+215.2060E-03,+4.9849246E+00
-1.9552000E+00,+215.2060E-03,+4.9849246E+00
-1.9550000E+00,+215.2060E-03,+4.9849246E+00
-1.9548000E+00,+134.8040E-03,+4.9849246E+00
-1.9546000E+00,+134.8040E-03,+4.9849246E+00
-1.9544000E+00,+215.2060E-03,+4.9849246E+00
-1.9542000E+00,+215.2060E-03,+4.9849246E+00
-1.9540000E+00,+134.8040E-03,+4.9849246E+00
-1.9538000E+00,+215.2060E-03,+4.9849246E+00
-1.9536000E+00,+215.2060E-03,+4.9849246E+00
-1.9534000E+00,+215.2060E-03,+4.9045226E+00
-1.9532000E+00,+134.8040E-03,+4.9849246E+00
-1.9530000E+00,+215.2060E-03,+4.9849246E+00
-1.9528000E+00,+215.2060E-03,+4.9849246E+00
-1.9526000E+00,+215.2060E-03,+4.9849246E+00
-1.9524000E+00,+134.8040E-03,+4.9045226E+00
-1.9522000E+00,+215.2060E-03,+4.9849246E+00
-1.9520000E+00,+134.8040E-03,+5.0653266E+00
-1.9518000E+00,+215.2060E-03,+4.9849246E+00
-1.9516000E+00,+215.2060E-03,+4.9849246E+00
-1.9514000E+00,+134.8040E-03,+4.9849246E+00
-1.9512000E+00,+215.2060E-03,+4.9849246E+00
