x-axis,1,NO_LBL
second,Volt,Volt
-4.242340E+00,+16.000E-03,+498.492E-03
-4.237340E+00,+20.020E-03,+498.492E-03
-4.232340E+00,+17.206E-03,+498.492E-03
-4.227340E+00,+16.000E-03,+498.492E-03
-4.222340E+00,+20.020E-03,+496.080E-03
-4.217340E+00,+20.020E-03,+498.492E-03
-4.212340E+00,+16.000E-03,+498.492E-03
-4.207340E+00,+20.020E-03,+498.492E-03
-4.202340E+00,+17.206E-03,+498.492E-03
-4.197340E+00,+20.020E-03,+498.492E-03
-4.192340E+00,+18.814E-03,+498.492E-03
-4.187340E+00,+20.020E-03,+496.080E-03
-4.182340E+00,+18.814E-03,+498.492E-03
-4.177340E+00,+16.000E-03,+498.492E-03
-4.172340E+00,+20.020E-03,+498.492E-03
-4.167340E+00,+17.206E-03,+496.080E-03
-4.162340E+00,+20.020E-03,+498.492E-03
-4.157340E+00,+20.020E-03,+498.492E-03
-4.152340E+00,+16.000E-03,+498.492E-03
-4.147340E+00,+20.020E-03,+498.492E-03
-4.142340E+00,+17.206E-03,+498.492E-03
-4.137340E+00,+20.020E-03,+498.492E-03
-4.132340E+00,+20.020E-03,+498.492E-03
-4.127340E+00,+17.206E-03,+498.492E-03
-4.122340E+00,+18.814E-03,+498.492E-03
-4.117340E+00,+20.020E-03,+498.492E-03
-4.112340E+00,+17.206E-03,+498.492E-03
-4.107340E+00,+22.834E-03,+498.492E-03
-4.102340E+00,+17.206E-03,+496.080E-03
-4.097340E+00,+18.814E-03,+498.492E-03
-4.092340E+00,+20.020E-03,+498.492E-03
-4.087340E+00,+20.020E-03,+498.492E-03
-4.082340E+00,+20.020E-03,+498.492E-03
-4.077340E+00,+20.020E-03,+498.492E-03
-4.072340E+00,+17.206E-03,+498.492E-03
-4.067340E+00,+17.206E-03,+498.492E-03
-4.062340E+00,+20.020E-03,+492.864E-03
-4.057340E+00,+20.020E-03,+498.492E-03
-4.052340E+00,+20.020E-03,+5.628E-03
-4.047340E+00,+16.000E-03,+0.0E+00
-4.042340E+00,+18.814E-03,+0.0E+00
-4.037340E+00,+16.000E-03,+0.0E+00
-4.032340E+00,+20.020E-03,+0.0E+00
-4.027340E+00,+20.020E-03,+0.0E+00
-4.022340E+00,+16.000E-03,+0.0E+00
-4.017340E+00,+16.000E-03,+0.0E+00
-4.012340E+00,+20.020E-03,+2.412E-03
-4.007340E+00,+21.628E-03,+0.0E+00
-4.002340E+00,+18.814E-03,+0.0E+00
-3.997340E+00,+20.020E-03,+0.0E+00
-3.992340E+00,+17.206E-03,+0.0E+00
-3.987340E+00,+16.000E-03,+0.0E+00
-3.982340E+00,+20.020E-03,+0.0E+00
-3.977340E+00,+18.412E-03,+0.0E+00
-3.972340E+00,+20.020E-03,+0.0E+00
-3.967340E+00,+21.628E-03,+5.628E-03
-3.962340E+00,+16.000E-03,+0.0E+00
-3.957340E+00,+21.226E-03,+498.492E-03
-3.952340E+00,+20.020E-03,+496.080E-03
-3.947340E+00,+18.814E-03,+498.492E-03
-3.942340E+00,+20.020E-03,+498.492E-03
-3.937340E+00,+17.206E-03,+498.492E-03
-3.932340E+00,+25.648E-03,+498.492E-03
-3.927340E+00,+20.020E-03,+498.492E-03
-3.922340E+00,+21.628E-03,+498.492E-03
-3.917340E+00,+18.814E-03,+0.0E+00
-3.912340E+00,+17.206E-03,+0.0E+00
-3.907340E+00,+20.020E-03,+490.452E-03
-3.902340E+00,+20.020E-03,+490.452E-03
-3.897340E+00,+20.020E-03,+498.492E-03
-3.892340E+00,+18.814E-03,+496.080E-03
