x-axis,1,2
second,Volt,Volt
+998.527000E-03,,
+998.528000E-03,,
+998.529000E-03,+14.492462296E+00,+9.185929689E+00
+998.530000E-03,+14.562814054E+00,+9.135678433E+00
+998.531000E-03,+14.527638175E+00,+9.015075420E+00
+998.532000E-03,+14.522613049E+00,+8.939698536E+00
+998.533000E-03,+14.492462295E+00,+8.854271401E+00
+998.534000E-03,+14.522613049E+00,+8.738693513E+00
+998.535000E-03,+14.487437170E+00,+8.653266378E+00
+998.536000E-03,+14.492462295E+00,+8.542713615E+00
+998.537000E-03,+14.487437170E+00,+8.457286481E+00
+998.538000E-03,+14.492462295E+00,+8.376884472E+00
+998.539000E-03,+14.527638175E+00,+8.296482462E+00
+998.540000E-03,+14.522613049E+00,+8.180904574E+00
+998.541000E-03,+14.487437170E+00,+8.095477439E+00
+998.542000E-03,+14.487437170E+00,+8.015075430E+00
+998.543000E-03,+14.487437170E+00,+7.934673421E+00
+998.544000E-03,+14.527638175E+00,+7.894472416E+00
+998.545000E-03,+14.522613049E+00,+7.894472416E+00
+998.546000E-03,+14.527638175E+00,+7.894472416E+00
+998.547000E-03,+14.522613050E+00,+7.894472416E+00
+998.548000E-03,+14.487437170E+00,+7.894472416E+00
+998.549000E-03,+14.487437170E+00,+7.894472416E+00
+998.550000E-03,+14.487437170E+00,+7.894472416E+00
+998.551000E-03,+14.492462295E+00,+7.894472416E+00
+998.552000E-03,+14.522613050E+00,+7.894472416E+00
+998.553000E-03,+14.522613050E+00,+7.894472416E+00
+998.554000E-03,+14.527638175E+00,+7.894472416E+00
+998.555000E-03,+14.527638175E+00,+7.894472416E+00
+998.556000E-03,+14.492462295E+00,+7.894472416E+00
+998.557000E-03,+14.487437170E+00,+7.894472416E+00
+998.558000E-03,+14.487437170E+00,+7.894472416E+00
+998.559000E-03,+14.487437170E+00,+7.894472416E+00
+998.560000E-03,+14.492462295E+00,+7.894472416E+00
+998.561000E-03,+14.527638175E+00,+7.894472416E+00
+998.562000E-03,+14.492462295E+00,+7.894472416E+00
+998.563000E-03,+14.522613050E+00,+7.894472416E+00
+998.564000E-03,+14.492462295E+00,+7.894472416E+00
+998.565000E-03,+14.487437170E+00,+7.894472416E+00
+998.566000E-03,+14.487437170E+00,+7.894472416E+00
+998.567000E-03,+14.517587926E+00,+7.894472416E+00
+998.568000E-03,+14.487437170E+00,+7.894472416E+00
+998.569000E-03,+14.492462294E+00,+7.894472416E+00
+998.570000E-03,+14.527638175E+00,+7.894472416E+00
+998.571000E-03,+14.492462294E+00,+7.894472416E+00
